classcode,spotcode,distcode,activity,evolution,previous,historially,becomecomplex,area,arealargest,class
H,A,X,I,S,I,I,I,I,I,A
D,R,O,I,S,I,I,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
H,R,X,I,P,I,I,I,I,I,A
H,S,X,I,I,I,I,P,I,I,A
C,A,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
C,A,O,I,S,I,I,P,I,I,A
C,A,O,I,P,I,I,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
C,A,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,I,I,P,I,I,P,I,I,A
C,S,O,P,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
D,R,I,I,S,I,I,P,I,I,B
H,S,X,I,S,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
B,X,O,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,O,P,P,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,B
B,X,O,I,P,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,A,I,P,S,I,I,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,O,I,I,I,P,P,I,I,A
B,X,O,I,I,I,I,P,I,I,A
C,R,I,P,I,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,R,I,I,S,I,P,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
E,A,C,I,S,I,I,P,I,I,B
H,A,X,I,P,I,I,I,I,I,B
B,X,O,I,P,I,P,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
D,K,I,P,S,I,P,P,I,I,B
E,A,I,P,P,I,I,P,I,I,B
D,A,I,I,S,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
D,A,O,P,S,S,P,P,I,I,B
E,S,O,P,S,I,P,P,I,I,B
C,R,O,I,S,I,I,P,I,I,A
E,S,I,P,S,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
D,A,I,P,S,I,P,P,I,I,A
E,A,I,P,S,I,P,P,I,I,B
H,S,X,I,S,I,I,I,I,I,A
D,A,O,I,S,I,I,P,I,I,B
D,R,O,I,S,I,I,P,I,I,B
D,S,O,I,S,I,P,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
D,A,I,P,P,I,P,P,I,I,A
E,A,I,P,S,S,P,P,I,I,B
H,S,X,I,I,I,I,I,I,I,A
D,S,I,P,S,I,I,P,I,I,A
D,S,O,P,S,P,I,P,I,I,B
D,R,O,I,S,I,I,P,I,I,A
D,S,O,I,S,I,P,P,I,I,A
D,S,O,I,S,I,I,P,I,I,A
D,S,O,I,P,I,P,P,I,I,A
E,K,C,P,S,S,P,P,P,I,B
H,R,X,I,S,I,I,I,I,I,A
D,A,O,I,P,I,P,P,I,I,B
C,S,I,I,S,I,I,P,I,I,B
C,S,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
D,S,O,I,P,I,P,P,I,I,B
D,A,I,I,S,I,I,P,I,I,A
D,S,O,I,P,I,P,P,I,I,A
F,K,C,P,S,I,P,P,P,I,A
D,A,I,I,S,I,P,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,B
D,S,O,I,P,I,P,P,I,I,A
H,A,X,I,P,I,P,P,I,I,A
D,A,O,I,S,I,P,P,I,I,A
F,K,C,P,P,I,P,P,I,I,B
D,S,I,P,P,I,P,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
D,S,O,I,P,I,I,P,I,I,B
H,R,X,I,P,I,P,P,I,I,A
H,A,X,I,P,I,P,P,I,I,A
C,S,O,I,P,I,P,P,I,I,A
F,A,I,I,P,I,P,P,P,I,B
D,S,O,I,P,I,P,P,I,I,B
C,R,O,I,P,I,I,P,I,I,A
D,A,C,P,S,I,I,P,I,I,B
B,X,O,I,I,I,I,P,I,I,A
E,A,I,P,S,I,I,P,I,I,B
H,A,X,I,P,I,P,P,I,I,A
C,S,O,I,S,I,P,P,I,I,B
F,A,C,P,S,I,P,P,P,I,B
D,S,O,I,P,I,P,P,I,I,A
D,A,I,P,S,I,P,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
E,A,I,P,S,I,P,P,I,I,A
D,S,O,P,S,I,P,P,I,I,A
F,A,I,P,P,I,P,P,I,I,B
H,S,X,I,I,I,P,P,I,I,B
D,A,I,P,P,I,P,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
E,S,I,P,P,I,P,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
F,A,C,P,P,I,P,P,I,I,B
H,S,X,I,P,I,P,P,I,I,A
E,A,O,I,P,I,P,P,I,I,B
E,A,I,I,P,I,P,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
C,S,O,I,S,I,I,P,I,I,B
H,S,X,I,P,I,P,P,I,I,A
F,A,I,P,P,I,P,P,I,I,A
E,A,O,I,P,I,P,P,I,I,A
E,S,I,I,P,I,P,P,I,I,A
E,A,O,I,S,I,I,P,I,I,B
H,S,X,I,P,I,I,I,I,I,A
E,S,O,I,I,I,P,P,I,I,A
E,S,I,P,S,I,P,P,I,I,A
C,S,O,P,P,I,I,P,I,I,B
E,S,O,I,P,I,I,P,I,I,A
E,A,I,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,B
E,A,O,I,S,I,I,P,I,I,A
H,H,X,I,P,I,I,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
E,S,I,I,P,I,P,P,I,I,A
C,S,O,P,S,I,I,P,I,I,A
E,S,O,I,S,I,I,P,I,I,A
H,H,X,I,S,I,I,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,B
B,X,O,I,S,I,I,P,I,I,A
C,R,O,I,P,I,I,P,I,I,B
D,R,O,I,P,I,I,P,I,I,A
E,S,O,I,P,I,P,P,I,I,A
C,S,O,P,P,I,I,P,I,I,A
E,S,O,I,S,I,I,P,I,I,A
C,H,O,I,S,I,I,P,I,I,A
B,X,O,I,I,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
E,R,C,P,S,I,I,P,I,I,A
D,R,I,I,S,I,I,P,I,I,A
H,S,X,I,I,I,P,P,I,I,A
C,S,O,I,P,I,I,P,I,I,A
E,S,O,I,P,I,I,P,I,I,B
C,K,O,I,P,I,I,P,I,I,B
H,S,X,P,P,I,I,I,I,I,A
B,X,O,I,P,I,I,P,I,I,A
E,K,C,I,S,I,P,P,I,I,A
E,A,I,I,S,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
H,R,X,I,I,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
E,S,O,I,P,I,I,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
E,K,C,I,S,I,P,P,P,I,B
E,R,O,I,S,I,P,P,P,I,A
H,S,X,I,S,I,I,I,I,I,A
H,S,X,I,I,I,I,P,I,I,A
D,S,O,P,P,I,I,P,I,I,A
C,S,O,P,I,I,I,P,I,I,A
H,S,X,I,I,I,I,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
E,A,C,P,I,S,P,P,I,I,B
E,A,O,I,I,I,P,P,I,I,B
H,R,X,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
H,S,X,I,P,I,I,I,I,I,A
H,S,X,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,P,I,I,B
H,H,X,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
F,K,C,P,S,S,P,P,P,I,B
E,A,O,P,P,I,P,P,I,I,B
D,S,O,I,S,I,I,P,I,I,B
H,S,X,I,S,I,I,I,I,I,A
C,S,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
C,H,O,I,S,I,I,P,I,I,B
B,X,O,I,I,I,I,P,I,I,A
F,K,C,P,S,I,P,P,P,I,A
E,A,O,P,P,I,P,P,I,I,A
D,S,I,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
C,R,I,I,S,I,I,P,I,I,A
D,A,O,I,S,I,I,P,I,I,B
H,S,X,I,P,I,I,P,I,I,A
C,S,O,P,S,I,I,P,I,I,B
C,S,O,I,P,I,I,P,I,I,A
F,K,I,P,P,I,P,P,P,I,B
E,R,O,P,P,I,P,P,I,I,A
C,R,I,I,S,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
D,A,I,I,S,I,I,P,I,I,A
D,S,O,I,S,I,I,P,I,I,B
C,S,O,I,S,I,I,P,I,I,A
H,S,X,I,I,I,I,P,I,I,A
H,S,X,P,P,I,I,P,I,I,A
F,A,I,I,P,I,P,P,I,I,B
C,R,I,I,S,I,I,P,I,I,B
D,S,O,I,S,I,I,P,I,I,A
C,S,I,P,P,I,P,P,I,I,A
D,A,O,P,S,I,I,P,I,I,A
C,S,O,I,P,I,I,P,I,I,B
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
F,A,I,P,P,I,P,P,I,I,B
D,R,I,P,P,I,I,P,I,I,A
D,A,I,I,S,I,I,P,I,I,A
D,A,O,P,P,S,P,P,I,I,A
D,A,O,I,P,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,B
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
F,K,I,P,S,I,P,P,P,I,B
D,A,I,I,P,I,P,P,I,I,A
D,A,I,I,S,I,P,P,I,I,A
B,X,I,I,P,I,P,P,I,I,A
D,A,O,I,S,I,I,P,I,I,A
D,A,O,P,S,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,B
B,X,O,I,P,I,I,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
F,K,I,P,P,S,P,P,I,I,A
D,R,C,I,S,I,P,P,I,I,B
D,A,I,I,P,I,P,P,I,I,A
H,S,X,I,I,I,P,P,I,I,A
D,A,O,I,P,I,I,P,I,I,A
D,A,O,P,S,I,I,P,I,I,A
D,R,O,I,P,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
B,X,I,I,S,I,I,P,I,I,A
H,R,X,I,P,I,I,I,I,I,A
H,S,X,I,P,I,I,I,I,I,A
F,S,O,I,I,I,P,P,I,I,A
D,R,I,P,P,I,P,P,I,I,A
C,R,O,I,P,I,P,P,I,I,B
H,A,X,P,S,P,P,P,I,I,A
H,A,X,I,P,I,I,P,I,I,A
D,A,I,I,P,I,I,P,I,I,A
H,S,X,I,I,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
C,R,O,I,S,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
C,R,O,I,I,I,P,P,I,I,A
H,S,X,I,P,I,P,P,I,I,A
H,A,X,I,S,I,I,P,I,I,A
D,S,I,I,P,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,I,I,S,I,I,P,I,I,A
D,S,I,I,S,I,I,P,I,I,A
H,R,X,I,S,I,I,P,I,I,A
H,A,X,I,P,I,P,I,I,I,A
H,R,X,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
C,S,O,I,P,I,P,P,I,I,A
B,X,O,P,I,I,P,P,I,I,A
H,R,X,I,P,I,P,P,I,I,A
D,R,O,I,I,I,I,P,I,I,A
D,S,O,I,P,I,P,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
C,R,O,I,I,I,I,P,I,I,A
C,R,O,I,P,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
C,A,O,I,S,I,P,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
H,R,X,I,I,I,I,P,I,I,A
C,R,I,I,S,I,I,P,I,I,B
D,A,O,I,S,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,R,X,I,S,I,I,P,I,I,A
C,S,O,P,P,S,P,P,I,I,B
H,R,X,I,S,I,I,P,I,I,A
C,R,O,I,P,I,P,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
H,A,X,I,P,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,R,I,I,S,I,I,P,I,I,B
H,A,X,I,P,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
H,S,X,I,S,I,P,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
C,S,O,I,P,I,P,P,I,I,A
C,R,O,I,I,I,I,P,I,I,A
H,R,X,I,S,I,I,P,I,I,A
E,A,I,P,S,I,P,P,I,I,B
D,R,I,I,P,I,P,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
C,S,O,I,P,I,I,P,I,I,B
H,S,X,P,P,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
C,S,O,I,S,I,P,P,I,I,A
D,A,I,I,S,I,I,P,I,I,A
E,A,I,P,P,I,P,P,I,I,A
D,R,I,P,S,P,P,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,P,I,I,A
C,A,O,I,P,I,P,P,I,I,A
C,R,O,I,P,I,P,P,I,I,A
C,A,I,I,P,I,P,P,I,I,A
B,X,O,I,P,I,P,P,I,I,A
D,A,I,P,S,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,P,I,I,A
C,A,O,I,S,I,P,P,I,I,A
D,R,I,I,P,I,P,P,I,I,A
C,R,O,I,P,I,P,P,I,I,A
B,X,I,I,S,I,P,P,I,I,A
D,A,I,P,S,S,P,P,I,I,B
D,R,O,I,S,I,I,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
H,A,X,I,P,I,P,P,I,I,A
B,X,O,I,I,I,P,P,I,I,A
C,A,O,I,P,I,P,P,I,I,A
D,A,I,I,P,I,P,P,I,I,B
C,R,O,I,I,I,I,P,I,I,A
C,R,O,I,I,I,I,P,I,I,A
H,A,X,I,P,I,P,P,I,I,A
C,R,O,I,P,I,P,P,I,I,A
D,S,O,P,S,I,P,P,I,I,B
B,X,O,P,S,I,I,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,P,I,I,A
D,A,I,P,P,I,P,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
D,R,O,I,P,I,I,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
H,S,X,I,S,I,P,P,I,I,A
D,K,I,P,S,P,P,P,I,I,B
B,X,O,I,P,I,I,P,I,I,A
B,X,I,I,P,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
D,K,I,I,S,I,P,P,I,I,B
B,X,O,I,I,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
C,S,O,P,S,S,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,R,O,I,P,I,I,P,I,I,A
D,K,I,P,S,I,P,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
C,S,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
D,K,I,P,P,I,P,P,I,I,B
D,A,I,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
C,S,O,P,P,P,I,P,I,I,A
D,R,O,I,P,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
D,S,O,I,P,I,I,P,I,I,B
D,A,I,P,P,S,P,P,I,I,A
D,S,O,I,S,I,I,P,I,I,B
D,A,I,I,P,I,P,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
H,R,X,I,S,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,A,I,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
C,R,O,I,S,I,I,P,I,I,B
H,A,X,I,I,I,P,P,I,I,A
H,S,X,I,I,I,I,P,I,I,A
D,A,I,I,S,I,P,P,I,I,A
H,S,X,I,I,I,I,P,I,I,A
C,S,O,I,P,I,I,P,I,I,A
D,R,O,I,P,I,I,P,I,I,B
D,S,I,P,S,I,I,P,I,I,A
D,A,C,P,S,I,P,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
D,R,O,I,P,I,I,P,I,I,A
C,A,O,I,S,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
B,X,O,I,P,I,I,P,I,I,A
E,A,I,I,S,I,P,P,I,I,B
D,S,O,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
H,R,X,I,I,I,I,P,I,I,A
D,A,O,I,I,I,P,P,I,I,A
D,A,I,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
C,R,O,P,P,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
D,S,I,I,S,I,I,P,I,I,B
H,R,X,I,P,I,I,I,I,I,A
H,R,X,I,P,I,I,P,I,I,A
E,A,C,I,S,I,P,P,I,I,A
D,A,O,I,S,I,I,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
H,S,X,P,P,I,I,P,I,I,A
D,R,O,I,S,I,P,P,I,I,A
C,S,O,I,P,I,P,P,I,I,A
H,H,X,I,P,I,I,I,I,I,A
C,R,O,I,S,I,I,P,I,I,A
D,S,I,I,S,I,P,P,I,I,B
C,R,O,I,S,I,I,P,I,I,A
H,R,X,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
H,S,X,I,P,I,I,I,I,I,A
D,A,O,I,I,I,P,P,I,I,A
D,S,I,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
C,R,I,I,S,I,P,P,I,I,A
D,R,I,I,S,I,P,P,I,I,A
H,A,X,I,P,I,I,I,I,I,A
B,X,O,I,P,I,I,P,I,I,A
E,A,I,P,S,I,P,P,I,I,B
D,R,O,I,S,I,I,P,I,I,A
H,H,X,I,S,I,P,I,I,I,A
D,A,I,I,P,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,S,I,I,S,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
D,A,I,I,S,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
D,R,O,I,P,I,P,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
D,R,O,I,S,I,I,P,I,I,A
E,A,I,P,P,I,P,P,I,I,B
D,A,I,P,S,S,I,P,I,I,B
B,X,O,I,P,I,I,P,I,I,A
H,A,X,I,S,I,P,I,I,I,A
D,A,I,I,S,I,P,P,I,I,B
C,R,O,I,P,I,I,P,I,I,A
D,S,O,I,I,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
D,R,O,I,I,I,P,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
B,X,O,I,P,I,P,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
C,R,O,I,P,I,I,P,I,I,A
E,A,O,P,P,I,P,P,I,I,B
E,A,I,I,S,I,P,P,I,I,A
H,A,X,I,S,I,P,I,I,I,A
D,A,I,P,S,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
D,S,O,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
D,R,O,I,S,I,P,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
C,A,O,I,I,I,I,P,I,I,A
E,A,I,I,P,I,P,P,I,I,A
E,A,C,P,P,I,P,P,I,I,A
H,A,X,I,P,I,P,I,I,I,A
D,A,C,P,P,S,P,P,I,I,A
E,S,I,I,P,I,P,P,I,I,A
H,R,X,I,P,I,I,I,I,I,A
H,S,X,I,S,I,I,P,I,I,A
D,A,I,I,S,I,P,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
E,A,O,P,S,I,P,P,I,I,A
E,A,O,I,P,I,P,P,I,I,B
C,A,O,I,P,I,P,P,I,I,A
D,A,C,I,P,I,P,P,I,I,A
E,S,I,I,S,I,P,P,I,I,B
H,R,X,I,S,I,I,I,I,I,A
D,R,I,I,S,I,I,P,I,I,B
H,S,X,I,S,I,I,I,I,I,A
H,S,X,I,S,I,P,I,I,I,A
D,S,I,I,S,I,P,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
H,A,X,I,P,I,P,P,I,I,A
F,A,I,I,P,I,P,P,I,I,B
C,A,O,I,S,I,P,P,I,I,A
C,A,I,I,P,I,P,P,I,I,A
E,A,I,I,S,I,P,P,I,I,A
H,S,X,I,P,I,I,I,I,I,B
D,R,I,P,S,I,P,P,I,I,B
H,S,X,I,P,I,P,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,S,O,I,I,S,P,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
F,A,I,P,P,I,P,P,I,I,B
C,R,O,I,P,I,P,P,I,I,A
E,A,I,P,S,S,P,P,I,I,B
H,S,X,I,S,I,I,I,I,I,A
C,A,I,I,P,I,P,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
D,R,I,I,S,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
F,A,I,P,P,I,P,P,I,I,A
C,R,O,I,P,I,P,P,I,I,A
