classcode,spotcode,distcode,activity,evolution,previous,historially,becomecomplex,area,arealargest,class
H,S,X,I,S,I,P,P,I,I,B
E,A,I,I,S,I,P,P,I,I,A
H,S,X,P,P,I,I,I,I,I,B
C,A,I,P,S,I,P,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
D,R,I,I,S,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
F,A,I,I,I,I,P,P,I,I,A
H,R,X,I,I,I,P,P,I,I,A
H,S,X,P,S,I,P,P,I,I,A
E,S,I,P,P,I,P,P,I,I,B
H,S,X,I,S,I,I,I,I,I,A
D,R,I,I,P,I,P,P,I,I,A
H,R,X,I,P,I,P,I,I,I,A
D,A,O,I,P,I,P,P,I,I,A
H,R,X,I,I,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
H,S,X,I,P,I,P,P,I,I,A
E,S,I,P,P,I,P,P,I,I,A
C,S,O,P,P,I,I,P,I,I,A
C,R,O,I,I,I,P,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
H,S,X,I,P,I,P,P,I,I,A
D,A,I,P,P,I,P,P,I,I,B
H,S,X,I,P,I,I,P,I,I,A
B,X,O,I,P,I,P,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
C,R,O,I,S,I,I,P,I,I,A
D,S,O,P,S,I,P,P,I,I,A
D,H,O,I,S,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
C,S,O,I,P,I,I,P,I,I,A
H,S,X,I,P,I,P,P,I,I,A
D,A,I,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
H,R,X,I,P,I,P,I,I,I,A
C,S,O,I,S,I,P,P,I,I,A
C,S,I,I,S,I,I,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,P,I,I,A
D,A,O,I,S,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
H,R,X,I,S,I,P,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
C,S,O,I,P,I,P,P,I,I,B
C,S,O,I,P,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
C,S,O,I,I,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
C,S,O,I,P,I,I,P,I,I,B
D,A,I,I,S,I,P,P,I,I,B
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,S,I,P,I,I,I,A
C,S,O,I,S,I,I,P,I,I,B
C,S,O,I,S,I,P,P,I,I,B
H,S,X,I,S,I,I,P,I,I,B
C,R,O,I,P,I,I,P,I,I,A
D,S,O,I,S,I,I,P,I,I,A
H,S,X,P,S,I,I,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
D,A,O,I,P,I,P,P,I,I,B
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
D,S,I,I,S,I,I,P,I,I,A
D,A,I,P,P,I,P,P,I,I,B
F,S,O,P,P,I,I,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
C,R,I,I,P,I,I,P,I,I,B
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
D,A,O,I,S,I,P,P,I,I,A
D,A,I,P,P,I,P,P,I,I,B
D,S,O,P,P,S,P,P,I,I,A
F,H,O,I,P,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
D,R,I,I,S,I,I,P,I,I,A
C,S,O,I,P,I,I,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
H,R,X,I,S,I,I,I,I,I,A
D,S,O,I,S,I,I,P,I,I,A
D,S,I,I,I,I,P,P,I,I,A
C,R,I,I,P,I,P,P,I,I,B
C,S,O,I,S,I,I,P,I,I,A
B,X,I,P,P,I,P,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
C,S,I,I,S,I,I,P,I,I,A
H,R,X,P,I,I,P,P,I,I,A
C,S,O,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
B,X,I,I,P,I,P,P,I,I,B
C,S,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,A,O,I,S,I,I,P,I,I,A
C,S,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
C,S,O,P,P,I,P,P,I,I,A
C,S,I,I,S,I,I,P,I,I,A
C,R,O,I,P,I,P,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
D,A,I,I,P,I,I,P,I,I,A
E,A,I,I,S,I,I,P,I,I,A
H,R,X,I,S,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
H,S,X,I,I,I,P,P,I,I,A
D,S,O,I,P,I,I,P,I,I,A
C,S,O,P,S,I,P,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
D,A,O,I,P,I,P,P,I,I,A
F,S,I,I,S,I,P,P,I,I,B
D,A,I,I,P,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
D,A,I,I,S,I,I,P,I,I,B
E,S,O,I,S,I,I,P,I,I,B
H,S,X,I,P,I,P,P,I,I,A
C,S,O,I,P,I,I,P,I,I,A
H,S,X,I,I,I,I,P,I,I,A
C,S,O,I,S,I,P,P,I,I,A
F,S,I,I,S,I,P,P,I,I,B
D,R,O,I,P,I,P,P,I,I,A
D,A,I,P,S,I,P,P,I,I,A
D,R,C,P,S,I,I,P,I,I,B
H,K,X,I,S,I,I,I,I,I,A
C,R,O,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
H,A,X,I,I,I,P,P,I,I,A
F,S,I,P,P,I,P,P,I,I,A
B,X,O,I,P,I,P,P,I,I,A
D,S,I,I,P,I,P,P,I,I,A
E,H,C,P,S,I,P,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
C,H,O,I,S,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
H,R,X,I,S,I,P,P,I,I,A
F,R,I,I,P,I,P,P,I,I,B
H,S,X,I,I,I,P,P,I,I,A
D,A,I,I,S,I,P,P,I,I,B
E,K,I,P,S,I,P,P,P,I,B
F,H,O,I,P,I,P,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
B,X,O,I,P,I,P,P,I,I,A
D,A,I,I,P,I,P,P,I,I,B
F,K,I,I,P,I,P,P,I,I,B
E,H,O,P,P,I,P,P,I,I,B
B,X,I,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
H,R,X,I,P,I,I,P,I,I,A
B,X,O,I,I,I,P,P,I,I,A
D,S,I,P,P,I,P,P,I,I,B
E,K,I,P,P,I,P,P,I,I,B
F,H,O,I,S,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
C,S,O,I,S,I,P,P,I,I,A
H,R,X,I,I,I,P,P,I,I,A
B,X,I,I,I,I,P,P,I,I,A
F,K,I,I,P,I,P,P,I,I,B
D,H,I,P,S,I,P,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
H,S,X,I,S,I,P,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
H,R,X,I,S,I,P,P,I,I,A
F,A,I,P,S,I,P,P,P,I,B
E,H,I,I,S,I,P,P,I,I,B
H,S,X,I,P,I,P,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
H,R,X,I,S,I,P,P,I,I,A
F,A,I,P,S,I,P,P,I,I,A
E,H,I,I,S,I,P,P,I,I,B
H,S,X,I,S,I,P,P,I,I,A
H,R,X,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
F,A,I,P,P,S,P,P,I,I,A
E,H,O,P,P,P,P,P,I,I,A
H,S,X,I,P,I,P,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
C,S,I,I,S,I,I,P,I,I,A
F,A,I,I,P,I,P,P,I,I,B
E,H,O,P,P,I,P,P,I,I,B
H,S,X,I,S,I,P,P,I,I,A
H,R,X,I,S,I,I,P,I,I,A
D,S,I,I,S,I,I,P,I,I,A
F,A,I,I,P,I,P,P,I,I,A
E,A,O,I,P,I,P,P,I,I,B
H,S,X,I,S,I,P,P,I,I,A
D,S,I,I,S,I,P,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
F,A,I,P,P,I,P,P,I,I,B
H,S,X,I,S,I,P,P,I,I,A
D,A,O,I,S,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
B,X,I,I,S,I,I,P,I,I,A
E,S,O,I,I,I,P,P,I,I,A
D,A,I,I,S,I,P,P,I,I,A
H,R,X,I,S,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
H,R,X,P,P,I,P,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
D,A,I,I,S,I,P,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
B,X,I,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
H,A,X,I,P,I,I,P,I,I,A
C,A,O,I,P,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,I,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,S,I,P,I,I,I,A
C,R,O,I,S,I,I,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
H,A,X,I,S,I,I,P,I,I,A
E,A,O,I,S,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
C,R,O,I,P,I,I,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
C,A,O,I,P,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
H,R,X,I,I,I,I,P,I,I,B
H,S,X,I,I,I,I,P,I,I,A
C,S,I,I,S,I,I,P,I,I,B
H,A,X,I,S,I,P,I,I,I,A
B,X,I,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
B,X,O,P,P,I,P,P,I,I,B
C,S,O,I,P,I,I,P,I,I,A
C,A,O,I,S,I,P,P,I,I,A
B,X,O,P,P,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
C,S,O,P,P,I,I,P,I,I,A
H,A,X,I,P,I,P,P,I,I,A
B,X,O,I,I,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
H,A,X,I,P,I,P,P,I,I,A
H,H,X,I,S,I,I,P,I,I,A
B,X,O,I,I,I,I,P,I,I,A
H,R,X,I,I,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,B
C,R,O,I,S,I,I,P,I,I,A
H,A,X,I,S,I,P,P,I,I,A
H,H,X,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,B
C,R,O,I,P,I,I,P,I,I,A
B,X,O,I,I,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
C,S,O,P,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,B
C,S,O,I,P,I,I,P,I,I,A
B,X,O,I,P,I,P,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
C,S,O,P,S,I,I,P,I,I,A
B,X,O,P,S,I,I,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
H,A,X,I,S,I,I,I,I,I,A
H,A,X,I,S,I,I,I,I,I,A
H,A,X,I,P,I,I,I,I,I,A
H,A,X,I,P,I,I,I,I,I,A
H,S,X,I,S,I,I,P,I,I,A
D,A,I,I,S,I,P,P,I,I,B
H,S,X,I,P,I,I,P,I,I,A
D,R,O,I,P,I,I,P,I,I,B
D,A,I,I,S,I,I,P,I,I,A
C,A,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
H,S,X,I,P,I,I,I,I,I,A
C,S,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
H,S,X,I,S,I,I,P,I,I,A
D,A,I,I,S,I,P,P,I,I,B
H,S,X,I,P,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
D,A,I,I,S,I,P,P,I,I,A
C,A,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
H,S,X,I,P,I,I,I,I,I,A
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,B
D,H,O,I,S,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
C,R,O,P,P,I,I,P,I,I,A
D,S,O,P,P,P,P,P,I,I,B
C,R,O,I,P,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
H,S,X,I,S,I,I,I,I,I,A
C,S,O,I,S,I,I,P,I,I,B
F,A,I,I,S,I,I,P,I,I,A
E,S,O,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
D,R,O,I,P,I,I,P,I,I,A
C,S,O,P,P,S,P,P,I,I,A
H,S,X,I,I,I,I,P,I,I,A
D,S,O,I,I,I,I,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
D,A,I,P,S,I,I,P,I,I,B
C,A,O,I,S,I,P,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
H,S,X,I,P,I,I,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
H,S,X,I,I,P,P,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
D,K,I,P,S,I,P,P,I,I,B
E,A,I,I,S,I,P,P,I,I,B
H,S,X,I,P,I,P,I,I,I,A
C,R,O,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
H,S,X,I,S,I,P,P,I,I,A
C,S,O,I,P,I,I,P,I,I,A
C,S,O,I,P,I,I,P,I,I,A
D,K,I,P,S,I,P,P,I,I,A
E,A,I,I,P,I,P,P,I,I,A
H,S,X,I,S,I,P,I,I,I,A
C,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,B
H,S,X,I,P,I,I,P,I,I,A
H,R,X,I,I,I,I,P,I,I,A
H,S,X,I,P,I,P,P,I,I,A
H,S,X,I,I,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
D,A,I,P,P,I,P,P,I,I,B
D,S,I,P,S,I,P,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
C,R,O,I,P,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
D,S,O,I,S,I,I,P,I,I,B
H,S,X,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,I,I,I,P,I,I,A
D,S,O,I,P,I,P,P,I,I,B
D,S,O,I,P,I,P,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
D,S,O,I,S,I,I,P,I,I,A
E,S,O,P,S,S,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,S,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
D,K,I,P,P,I,P,P,I,I,B
C,S,O,I,P,I,P,P,I,I,A
H,S,X,I,S,I,P,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,A,I,I,S,I,I,P,I,I,B
C,S,O,P,P,P,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
D,K,I,P,P,I,P,P,I,I,A
C,S,O,I,P,I,P,P,I,I,A
H,S,X,I,S,I,P,I,I,I,A
B,X,O,I,I,I,I,P,I,I,A
D,A,I,I,S,I,P,P,I,I,A
C,S,O,I,P,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
E,A,O,I,P,I,P,P,I,I,A
C,S,O,I,I,I,P,P,I,I,A
H,S,X,I,S,I,P,I,I,I,A
H,R,X,I,P,I,I,P,I,I,A
E,A,C,P,P,I,P,P,I,I,A
D,A,I,I,S,I,I,P,I,I,A
D,A,I,I,S,I,I,P,I,I,A
E,S,I,I,S,I,I,P,I,I,A
D,S,I,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
C,A,O,P,P,S,P,P,I,I,A
C,S,O,I,S,I,P,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
H,R,X,I,S,I,I,P,I,I,A
E,A,I,I,P,I,P,P,I,I,A
D,K,I,I,S,I,P,P,I,I,B
D,A,O,I,S,I,P,P,I,I,A
E,K,I,I,S,I,P,P,P,I,A
D,K,I,I,S,I,P,P,I,I,A
H,R,X,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
C,A,O,I,P,I,P,P,I,I,A
C,S,O,I,P,I,P,P,I,I,A
H,S,X,I,S,I,P,I,I,I,A
D,K,I,P,P,I,P,P,I,I,A
B,X,O,I,P,I,P,P,I,I,A
E,K,I,I,P,I,P,P,I,I,B
D,K,I,I,S,I,P,P,I,I,B
H,R,X,I,S,I,I,P,I,I,B
H,S,X,I,S,I,I,I,I,I,A
H,S,X,I,I,I,P,P,I,I,A
H,S,X,I,S,I,P,I,I,I,A
D,A,I,I,P,I,P,P,I,I,A
F,K,C,I,P,I,P,P,P,I,A
E,K,C,P,S,I,P,P,P,I,A
D,A,I,I,S,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
D,A,I,I,P,I,P,P,I,I,B
E,K,C,P,P,S,P,P,P,I,A
F,K,C,I,S,I,P,P,P,I,A
D,K,C,P,S,I,P,P,P,I,B
C,S,I,I,P,I,I,P,I,I,A
H,S,X,I,S,I,I,P,I,I,A
D,A,I,I,S,I,I,P,I,I,A
D,S,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
D,S,O,I,I,I,P,P,I,I,A
E,K,C,P,S,S,P,P,P,I,B
F,K,I,I,P,I,P,P,P,I,A
E,K,C,P,S,S,P,P,P,I,A
C,R,I,I,P,I,I,P,I,I,A
B,S,O,I,S,I,I,P,I,I,A
D,A,O,I,S,I,P,P,I,I,B
C,R,O,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
C,R,O,I,P,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
H,S,X,P,P,I,P,P,I,I,A
E,K,C,P,P,S,P,P,P,I,B
E,K,I,I,S,I,P,P,P,I,B
E,K,C,P,P,S,P,P,P,I,A
B,S,O,I,P,I,I,P,I,I,A
E,A,I,I,S,I,P,P,I,I,A
D,R,I,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
C,R,O,I,S,I,I,P,I,I,A
H,S,X,I,S,I,P,P,I,I,A
E,K,C,P,P,P,P,P,P,I,B
E,A,I,I,P,I,P,P,I,I,B
H,S,X,I,P,I,I,P,I,I,A
E,A,O,P,P,I,P,P,I,I,A
D,R,I,I,S,I,P,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
H,R,X,I,S,I,I,P,I,I,A
D,S,O,I,S,I,I,P,I,I,A
H,R,X,I,P,I,I,I,I,I,A
E,K,C,P,P,P,P,P,P,I,A
F,S,I,P,P,I,P,P,I,I,B
D,S,I,I,S,I,I,P,I,I,B
H,S,X,I,S,I,I,P,I,I,A
D,S,O,I,S,I,P,P,I,I,A
D,A,I,I,P,I,P,P,I,I,A
H,A,X,I,S,I,I,I,I,I,A
D,S,O,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
C,S,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,P,I,I,I,A
E,K,C,P,S,I,P,P,P,I,B
F,A,I,P,P,I,P,P,I,I,A
C,S,O,I,P,I,P,P,I,I,A
D,A,I,I,P,I,P,P,I,I,A
H,A,X,I,P,I,I,I,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
D,A,O,I,S,I,I,P,I,I,A
D,H,O,I,S,I,P,P,I,I,A
D,S,O,I,S,I,I,P,I,I,B
E,K,C,P,P,I,P,P,I,I,A
F,A,I,I,P,I,P,P,I,I,A
C,S,O,I,P,I,P,P,I,I,A
D,A,I,I,I,I,P,P,I,I,B
H,A,X,I,P,I,I,I,I,I,A
H,S,X,I,P,I,I,I,I,I,A
D,A,O,I,P,I,I,P,I,I,A
D,H,O,I,S,I,P,P,I,I,A
D,S,O,I,S,I,I,P,I,I,A
H,S,X,I,I,I,P,P,I,I,A
F,S,I,I,S,I,P,P,I,I,A
H,S,X,I,S,I,I,I,I,I,A
B,X,I,I,P,I,I,P,I,I,A
D,H,O,I,P,I,P,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
D,A,I,P,S,P,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
C,R,O,I,S,I,I,P,I,I,B
C,R,O,I,P,I,I,P,I,I,A
D,H,O,I,P,I,P,P,I,I,A
C,S,O,I,P,I,I,P,I,I,A
E,A,I,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,I,I,I,B
C,S,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
D,S,O,I,S,I,P,P,I,I,A
B,X,O,I,I,I,I,P,I,I,A
E,A,O,I,P,I,P,P,I,I,B
H,S,X,I,S,I,I,I,I,I,B
H,S,X,I,S,I,I,I,I,I,A
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,B
D,H,O,I,S,I,P,P,I,I,A
E,A,I,P,P,I,P,P,I,I,A
D,S,O,I,S,I,I,P,I,I,A
H,S,X,I,I,I,I,I,I,I,A
H,S,X,I,P,I,I,P,I,I,A
H,S,X,I,P,I,I,P,I,I,B
D,S,O,I,P,I,P,P,I,I,A
H,S,X,I,P,P,P,P,I,I,A
H,S,X,P,P,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
H,S,X,I,P,I,I,I,I,I,A
H,S,X,P,P,I,I,P,I,I,A
C,S,O,I,P,I,P,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
B,X,O,I,I,I,I,P,I,I,A